date,AN,SN,IN,PN,DN,LS,interpretation
2025-04-12,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2025-04-15,2.0,3,0.0,2.0,2,6.0,Warning
2025-05-31,2.0,3,0.0,2.0,2,6.0,Warning
2025-05-31,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-06-01,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-06-03,2.5,1,0.0,2.0,2,5.0,Monitoring
2025-06-04,1.0,3,0.0,2.0,2,5.333333333333333,Warning
2025-06-04,2.0,3,0.0,2.0,2,6.0,Warning
2025-06-05,2.0,3,0.0,2.0,2,6.0,Warning
2025-06-07,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-06-08,2.0,3,0.0,2.0,2,6.0,Warning
2025-06-09,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-06-11,2.0,3,0.0,2.0,2,6.0,Warning
2025-06-12,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-06-13,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-06-14,2.0,3,0.0,2.0,2,6.0,Warning
2025-06-15,1.0,3,0.0,2.0,2,5.333333333333333,Warning
2025-06-16,2.5,1,0.0,2.0,2,5.0,Monitoring
2025-06-19,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2025-06-20,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-06-23,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-06-24,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-06-25,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-06-26,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-06-27,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-06-28,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2025-06-29,1.0,0,0.0,2.0,2,3.333333333333333,Monitoring
2025-06-30,1.0,3,0.0,2.0,2,5.333333333333333,Warning
2025-07-01,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-07-02,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-07-03,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-07-04,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-07-06,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2025-07-07,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2025-07-08,2.0,3,0.0,2.0,2,6.0,Warning
2025-07-09,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-07-10,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2025-07-11,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-07-12,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-07-13,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-07-15,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-07-16,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-07-17,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-07-18,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2025-07-18,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-07-20,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-07-21,1.0,0,0.0,2.0,2,3.333333333333333,Monitoring
2025-07-22,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-07-23,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-07-24,2.0,3,0.0,2.0,2,6.0,Warning
2025-07-25,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-07-26,1.0,0,0.0,2.0,2,3.333333333333333,Monitoring
2025-07-27,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-07-27,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-07-28,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-07-29,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-08-02,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-08-08,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-08-09,2.0,0,0.0,2.0,2,4.0,Monitoring
2025-08-10,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-08-11,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-08-12,2.0,0,0.0,2.0,2,4.0,Monitoring
2025-08-13,2.0,0,0.0,2.0,2,4.0,Monitoring
2025-08-13,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-08-15,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2025-08-16,2.0,0,0.0,2.0,2,4.0,Monitoring
2025-08-17,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-08-17,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-08-19,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-08-20,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-08-21,1.0,3,0.0,2.0,2,5.333333333333333,Warning
2025-08-21,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-08-23,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-08-24,1.0,0,0.0,2.0,2,3.333333333333333,Monitoring
2025-08-25,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2025-08-25,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-08-26,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-08-27,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-08-29,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-08-30,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-08-31,2.0,3,0.0,2.0,2,6.0,Warning
2025-09-01,2.0,3,0.0,2.0,2,6.0,Warning
2025-09-02,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-09-03,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2025-09-04,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-09-05,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-09-06,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-09-06,2.0,3,0.0,2.0,2,6.0,Warning
2025-09-07,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2025-09-09,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-09-11,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-09-12,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-09-13,1.5,3,0.0,2.0,2,5.666666666666666,Warning
2025-10-05,1.0,0,0.0,2.0,2,3.333333333333333,Monitoring
2025-10-06,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-10-07,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-10-08,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-10-09,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2025-10-10,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-10-11,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-10-12,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2025-10-12,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-10-14,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-10-15,1.0,3,0.0,2.0,2,5.333333333333333,Warning
2025-10-16,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-10-17,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-10-18,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-10-19,2.0,3,0.0,2.0,2,6.0,Warning
2025-10-20,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-10-21,2.5,2,0.0,2.0,2,5.666666666666666,Warning
2025-10-22,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-10-22,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-10-24,1.0,1,0.0,2.0,2,4.0,Monitoring
2025-10-25,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-10-25,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-10-27,2.0,3,0.0,2.0,2,6.0,Warning
2025-10-28,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-10-28,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-10-30,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2025-10-30,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-01,2.0,3,0.0,2.0,2,6.0,Warning
2025-11-02,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2025-11-03,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-04,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-04,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-11-06,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-07,1.0,2,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-08,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-11-09,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-10,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-11-11,2.5,2,0.0,2.0,2,5.666666666666666,Warning
2025-11-12,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-13,2.0,3,0.0,2.0,2,6.0,Warning
2025-11-14,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-15,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-16,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-17,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-11-17,2.5,2,0.0,2.0,2,5.666666666666666,Warning
2025-11-18,2.0,3,0.0,2.0,2,6.0,Warning
2025-11-20,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-20,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-11-22,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-23,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-24,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-26,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-27,1.0,3,0.0,2.0,2,5.333333333333333,Warning
2025-11-28,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-11-29,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-11-30,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-11-30,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-12-02,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-12-03,1.0,3,0.0,2.0,2,5.333333333333333,Warning
2025-12-04,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-12-05,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-12-06,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-12-07,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-12-09,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-12-09,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-12-11,3.0,1,0.0,2.0,2,5.333333333333333,Warning
2025-12-12,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-12-13,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2025-12-14,2.0,3,0.0,2.0,2,6.0,Warning
2025-12-15,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2025-12-16,1.5,3,0.0,2.0,2,5.666666666666666,Warning
2025-12-20,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2025-12-20,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2025-12-21,2.5,1,0.0,2.0,2,5.0,Monitoring
2025-12-23,2.5,1,0.0,2.0,2,5.0,Monitoring
2025-12-26,3.0,0,0.0,2.0,2,4.666666666666667,Monitoring
2025-12-26,3.0,1,0.0,2.0,2,5.333333333333333,Warning
2025-12-27,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2025-12-28,2.5,1,0.0,2.0,2,5.0,Monitoring
2025-12-29,3.0,1,0.0,2.0,2,5.333333333333333,Warning
2025-12-30,3.0,2,0.0,2.0,2,6.0,Warning
2026-01-01,3.0,2,0.0,2.0,2,6.0,Warning
2026-01-01,3.0,2,0.0,2.0,2,6.0,Warning
2026-01-03,2.5,2,0.0,2.0,2,5.666666666666666,Warning
2026-01-03,2.5,2,0.0,2.0,2,5.666666666666666,Warning
2026-01-04,3.0,1,0.0,2.0,2,5.333333333333333,Warning
2026-01-06,3.0,1,0.0,2.0,2,5.333333333333333,Warning
2026-01-07,2.5,1,0.0,2.0,2,5.0,Monitoring
2026-01-08,3.0,1,0.0,2.0,2,5.333333333333333,Warning
2026-01-09,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2026-01-10,2.5,1,0.0,2.0,2,5.0,Monitoring
2026-01-11,2.5,1,0.0,2.0,2,5.0,Monitoring
2026-01-11,3.0,1,0.0,2.0,2,5.333333333333333,Warning
2026-01-12,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2026-01-14,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2026-01-15,3.0,2,0.0,2.0,2,6.0,Warning
2026-01-16,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2026-01-17,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2026-01-19,2.5,2,0.0,2.0,2,5.666666666666666,Warning
2026-01-20,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2026-01-21,2.0,3,0.0,2.0,2,6.0,Warning
2026-01-22,2.5,3,0.0,2.0,2,6.333333333333333,Warning
2026-01-31,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2026-02-01,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2026-02-02,3.0,3,0.0,2.0,2,6.666666666666666,Warning
2026-02-03,2.5,1,0.0,2.0,2,5.0,Monitoring
2026-02-03,2.5,2,0.0,2.0,2,5.666666666666666,Warning
2026-02-04,2.5,1,0.0,2.0,2,5.0,Monitoring
2026-02-05,2.0,1,0.0,2.0,2,4.666666666666667,Monitoring
2026-02-08,3.0,2,0.0,2.0,2,6.0,Warning
2026-02-09,2.0,2,0.0,2.0,2,5.333333333333333,Warning
2026-02-09,3.0,1,0.0,2.0,2,5.333333333333333,Warning
2026-02-10,3.0,1,0.0,2.0,2,5.333333333333333,Warning
2026-02-11,3.0,1,0.0,2.0,2,5.333333333333333,Warning
2026-02-12,3.0,2,0.0,2.0,2,6.0,Warning
2026-02-13,2.5,1,1.0,2.0,2,5.666666666666666,Warning
2026-02-15,3.0,1,2.0,3.0,0,6.0,Warning
2026-02-15,3.0,1,2.0,3.0,0,6.0,Warning
2026-02-17,3.0,1,1.7,1.0,0,4.466666666666667,Monitoring
2026-02-18,3.0,1,3.0,1.0,3,7.333333333333333,Critical
2026-02-19,3.0,3,0.3,1.0,2,6.2,Warning
2026-02-20,3.0,3,2.0,1.0,3,8.0,Critical
2026-02-21,3.0,3,2.0,1.0,1,6.666666666666666,Warning
2026-02-22,2.5,1,2.0,3.0,2,7.0,Warning
2026-02-23,3.0,2,0.7,3.0,2,7.133333333333333,Critical
2026-02-24,3.0,3,0.0,2.0,3,7.333333333333333,Critical
2026-02-25,3.0,2,0.0,2.0,2,6.0,Warning
2026-02-27,3.0,1,0.0,2.0,3,6.0,Warning
2026-02-28,2.5,2,1.0,3.0,1,6.333333333333333,Warning
2026-03-01,2.5,3,1.0,2.0,2,7.0,Warning
2026-03-02,2.0,1,0.0,2.0,3,5.333333333333333,Warning
2026-03-03,2.0,1,0.0,2.0,3,5.333333333333333,Warning
2026-03-06,1.0,3,0.0,2.0,3,6.0,Warning
2026-03-07,2.0,1,2.0,2.0,0,4.666666666666667,Monitoring
2026-03-08,2.5,2,1.0,2.0,2,6.333333333333333,Warning
2026-03-09,0.0,3,0.0,2.0,2,4.666666666666667,Monitoring
2026-03-10,2.5,3,3.0,2.0,3,9.0,Critical
2026-03-11,2.0,2,1.0,2.0,2,6.0,Warning
2026-03-12,2.5,2,1.0,2.0,3,7.0,Warning
2026-03-13,2.5,1,2.0,0.0,2,5.0,Monitoring
2026-03-14,1.5,3,2.0,0.0,2,5.666666666666666,Warning
